"","id","AD","CIT","SW"
"63","31T4R4OBOSGU3TCSW4Q5I1VKX987C9",1.3094986295,0.850646517,-0.0405331655
"64","31T4R4OBOSGU3TCSW4Q5I1VKYQSC7X",2.3821312395,3.222537468,1.3762652795
"65","31T4R4OBOSGU3TCSW4Q5I1VKYQW7CW",1.334264793,1.976738002,1.1101715205
"66","31T4R4OBOSGU3TCSW4Q5I1VKYWRC78",3.8010568095,2.165891275,1.53155738
"67","31UV0MXWNQC6TSK90L7UVKFJJ96I5I",3.660769645,1.5347637585,1.6985245435
"68","31UV0MXWNQC6TSK90L7UVKFJJKS5ID",2.2250961305,1.2860633765,1.676440425
"69","31UV0MXWNQC6TSK90L7UVKFJKRU5IU",2.5956662605,1.6154430745,1.2330038755
"70","31UV0MXWNQC6TSK90L7UVKFJKXT5I5",4.417964365,1.2393591315,0.8844858565
"71","31Z0PCVWUKFBPAE3IQLV7BVOMEJ7T6",3.1122248275,2.5812118225,3.2105602305
"72","320DUZ38G7M040TZZZBLBIL8M96JGY",1.571643139,2.151135132,0.8841410535
"73","320DUZ38G7M040TZZZBLBIL8MXIJGM",2.7440780155,1.5105388,1.700646432
"74","320DUZ38G7M040TZZZBLBIL8NDVJGW",1.9129151945,1.051994121,1.2377383615
"75","324G5B4FB38A91HCKOXLN0TJP1K07H",2.012480513,0.860510656,1.060235602
"76","324G5B4FB38A91HCKOXLN0TJP4670G",3.062285615,1.27869528,0.866415322
"77","326O153BMIYPH0XGJ8ZM8H5J5UDEDO",3.72660167,4.746126494,3.1188388115
"78","32AT8R96GL9C8LDK6Y9G7YDMR94USD",2.4120606735,2.9356828545,3.579249786
"79","32AT8R96GL9C8LDK6Y9G7YDMRKXSUQ",3.6522388585,1.5867115895,2.21617687
"80","32AT8R96GL9C8LDK6Y9G7YDMROTSUU",1.903349069,5.624542177,2.6893757515
"81","32EYX73OY09076D7R99BHO8Q63HURE",2.354540242,1.753755572,1.665677096
"82","32EYX73OY09076D7R99BHO8Q65ZUR0",1.8339751665,2.509379993,1.502203343
"83","32KTQ2V7RDFBQYCCOQI3ZTR2MEFM9Z",1.717616827,0.882947617,1.2852585325
"84","32KTQ2V7RDFBQYCCOQI3ZTR2NB0M9F",3.3465020735,4.4800881085,1.223814779
"85","32M8BPYGATM49P9THHQLZH68AZCIGR",3.1150599205,2.9405736995,2.0202141435
"86","32N49TQG3GI8L4GQUOXUIKLZKEWAVL",2.1778056825,1.638296555,-0.342395925000001
"87","32Q90QCQ1SLXV63QBPL9CU09O6PEKL",3.4816745605,2.1305951995,1.7749856155
"88","32Q90QCQ1SLXV63QBPL9CU09PTKEKR",1.5266114155,0.983480438,-0.1397115515
"89","32SCWG5HIH4UTI7RIZ7JWNUV25HP6X",2.8508161595,4.790511465,3.6545770365
"90","32SVAV9L3F9O9VE7AEROZPTGS17A35",2.7354923835,1.470883881,2.566436534
"91","32SVAV9L3F9O9VE7AEROZPTGTL6A39",2.0815467415,1.9125283035,0.889909577
"92","32SVAV9L3F9O9VE7AEROZPTGTMT3AR",1.540355578,1.1417523975,0.238051774
"93","32UTUBMZ7GWD4ELI02XQDV552S7BVZ",3.0304109785,4.3348021075,2.648760029
"94","32VNZTT0A741Q8JSC3IT4KAW655R4T",2.857081734,2.027851077,0.6790255895
"95","32VNZTT0A741Q8JSC3IT4KAW65W4RX",1.7526557275,0.89288385,0.2446102685
"96","32VNZTT0A741Q8JSC3IT4KAW6SJR4H",2.879882805,2.0078533755,0.8835357045
"97","32VNZTT0A741Q8JSC3IT4KAW6T44RH",2.646732392,3.5858935095,2.615859145
"98","32VNZTT0A741Q8JSC3IT4KAW7TDR4E",3.9308312335,3.5176366475,2.783304021
"99","32Z9ZLUT1LKS57F7ZIL84EEV1A4OHB",1.890033836,2.985974552,0.627054318
"100","32ZKVD547FNTS5JZGSRKU0DMAZI3BF",2.8765171135,1.7465820615,2.427765091
"101","32ZKVD547FNTS5JZGSRKU0DMB2T3BX",4.596388804,2.658341678,3.136553792
"102","32ZKVD547FNTS5JZGSRKU0DMB4IB3Y",2.931951818,1.391038244,2.240170835
"103","32ZKVD547FNTS5JZGSRKU0DMB643BG",1.5438345215,1.85915537,0.2561222445
